"","soil_ID","treatment","total_dry_weight","meanC","diff","equation1","equation2","BRI"
"99","F31","IF",358.83,453.31,-94.48,-26.3300169996934,-20.8422492334164,-20.8422492334164
"100","F33","IF",547.74,519.6775,28.0625,5.12332493518822,5.39998364370211,5.12332493518822
"101","F33","IF",536.07,519.6775,16.3925,3.05790288581715,3.15436015605832,3.05790288581715
"102","F33","IF",328.65,519.6775,-191.0275,-58.1249049140423,-36.7588552515743,-36.7588552515743
"103","F33","IF",570.3,519.6775,50.6224999999999,8.87646852533753,9.74113753241193,8.87646852533753
"104","F33","IF",540.54,519.6775,20.8625,3.85956635956635,4.01450899836917,3.85956635956635
"105","F33","IF",576.06,519.6775,56.3824999999999,9.78760892962538,10.8495172486783,9.78760892962538
"106","F33","IF",440.19,519.6775,-79.4875,-18.0575433335605,-15.2955438709584,-15.2955438709584
"107","F33","IF",793.53,519.6775,273.8525,34.5106675235971,52.6966243487548,34.5106675235971
"108","F34","IF",497.02,690.13625,-193.11625,-38.854824755543,-27.9823368211712,-27.9823368211712
"109","F34","IF",707.29,690.13625,17.1537499999999,2.42527817444046,2.48555991661066,2.42527817444046
"110","F34","IF",694.99,690.13625,4.85374999999999,0.698391343760341,0.70330315209497,0.698391343760341
"111","F34","IF",830.57,690.13625,140.43375,16.9081173170232,20.3486992604721,16.9081173170232
"112","F34","IF",496.35,690.13625,-193.78625,-39.0422584869548,-28.0794191002139,-28.0794191002139
"113","F34","IF",735.63,690.13625,45.49375,6.18432500033984,6.591995421194,6.18432500033984
"114","F34","IF",745.46,690.13625,55.32375,7.42142435543155,8.01635184356713,7.42142435543155
"115","F34","IF",970.07,690.13625,279.93375,28.8570670157824,40.5620991507112,28.8570670157824
"116","F36","IF",513.52,559.935714285714,-46.4157142857143,-9.03873545055973,-8.28947200571495,-8.28947200571495
"117","F36","IF",863.81,559.935714285714,303.874285714286,35.1783709049774,54.2694952226659,35.1783709049774
"118","F36","IF",595.3,559.935714285714,35.3642857142856,5.94058217945332,6.31577604571951,5.94058217945332
"119","F36","IF",595.69,559.935714285714,35.7542857142856,6.00216315773063,6.38542689849599,6.00216315773063
"120","F36","IF",476.7276,559.935714285714,-83.2081142857143,-17.4540165674725,-14.8602977382608,-14.8602977382608
"121","F36","IF",611.83,559.935714285714,51.8942857142857,8.4818145096327,9.26790065186054,8.4818145096327
"122","F36","IF",794.444,559.935714285714,234.508285714286,29.5185419883951,41.8812873926854,29.5185419883951
"123","F37","IF",454.86,436.88875,17.97125,3.95094094886339,4.11346137889794,3.95094094886339
"124","F37","IF",652.9,436.88875,216.01125,33.0848904885894,49.4430790447225,33.0848904885894
"125","F37","IF",490.93,436.88875,54.04125,11.007933921333,12.3695677675381,11.007933921333
"126","F37","IF",527.17,436.88875,90.2812500000001,17.1256425820893,20.6645856639705,17.1256425820893
